origin,host_family,host_genus,host_species,virus_genus,virus_subgenus
HP3,Phyllostomidae,Dermanura,Artibeus phaeotis,Alphavirus,NA
HP3,Phyllostomidae,Carollia,Carollia brevicauda,Alphavirus,NA
HP3,Phyllostomidae,Carollia,Carollia subrufa,Alphavirus,NA
HP3,Phyllostomidae,Desmodus,Desmodus rotundus,Alphavirus,NA
HP3,Phyllostomidae,Glossophaga,Glossophaga commissarisi,Alphavirus,NA
HP3,Vespertilionidae,Myotis,Myotis nigricans,Alphavirus,NA
HP3,Phyllostomidae,Phyllostomus,Phyllostomus discolor,Alphavirus,NA
HP3,Phyllostomidae,Sturnira,Sturnira ludovici,Alphavirus,NA
HP3,Phyllostomidae,Uroderma,Uroderma bilobatum,Alphavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros pratti,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus sinicus,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Betacoronavirus,NA
Anthony,Hipposideridae,Aselliscus,Aselliscus stoliczkanus,Betacoronavirus,NA
Anthony,Molossidae,Chaerephon,Chaerephon plicatus,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus pusillus,Betacoronavirus,NA
Anthony,Vespertilionidae,Hypsugo,Hypsugo savii,Betacoronavirus,NA
Anthony,Vespertilionidae,Neoromicia,Neoromicia capensis,Betacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus kuhlii,Betacoronavirus,NA
Anthony,Pteropodidae,Rousettus,Rousettus leschenaultii,Betacoronavirus,NA
Anthony,Vespertilionidae,Tylonycteris,Tylonycteris pachypus,Betacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus abramus,Betacoronavirus,NA
Anthony,Vespertilionidae,Vespertilio,Vespertilio sinensis,Betacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis emarginatus,Betacoronavirus,NA
Anthony,Pteropodidae,Pteropus,Pteropus alecto,Betacoronavirus,Embecovirus
Anthony,Vespertilionidae,Neoromicia,Neoromicia capensis,Betacoronavirus,Merbecovirus
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus hesperidus,Betacoronavirus,Merbecovirus
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,Betacoronavirus,Merbecovirus
Anthony,Vespertilionidae,Tylonycteris,Tylonycteris pachypus,Betacoronavirus,Merbecovirus
Anthony,Vespertilionidae,Vespertilio,Vespertilio sinensis,Betacoronavirus,Merbecovirus
Anthony,Pteropodidae,Rousettus,Rousettus aegyptiacus,Betacoronavirus,Nobecovirus
Anthony,Pteropodidae,Eidolon,Eidolon helvum,Betacoronavirus,Nobecovirus
Anthony,Pteropodidae,Eonycteris,Eonycteris spelaea,Betacoronavirus,Nobecovirus
Anthony,Pteropodidae,Rousettus,Rousettus amplexicaudatus,Betacoronavirus,Nobecovirus
Anthony,Pteropodidae,Rousettus,Rousettus leschenaultii,Betacoronavirus,Nobecovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus sinicus,Betacoronavirus,Sarbecovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Betacoronavirus,Sarbecovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus affinis,Betacoronavirus,Sarbecovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus macrotis,Betacoronavirus,Sarbecovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus monoceros,Betacoronavirus,Sarbecovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus rex,Betacoronavirus,Sarbecovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus pearsonii,Betacoronavirus,Sarbecovirus
Anthony,Miniopteridae,Miniopterus,Miniopterus schreibersii,Betacoronavirus,Sarbecovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus thomasi,Betacoronavirus,Sarbecovirus
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus cornutus,Betacoronavirus,Sarbecovirus
Anthony,Hipposideridae,Hipposideros,Hipposideros armiger,Betacoronavirus,Sarbecovirus
HP3,Rhinolophidae,Rhinolophus,Rhinolophus blasii,Betacoronavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus euryale,Betacoronavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus ferrumequinum,Betacoronavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus macrotis,Betacoronavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus mehelyi,Betacoronavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus pearsonii,Betacoronavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus pusillus,Betacoronavirus,NA
HP3,Rhinolophidae,Rhinolophus,Rhinolophus sinicus,Betacoronavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus leschenaultii,Betacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros commersoni,Betacoronavirus,NA
Anthony,Pteropodidae,Rousettus,Rousettus aegyptiacus,Betacoronavirus,NA
Anthony,Pteropodidae,Cynopterus,Cynopterus brachyotis,Betacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros galeritus,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus creaghi,Betacoronavirus,NA
Anthony,Pteropodidae,Dyacopterus,Dyacopterus spadiceus,Betacoronavirus,NA
Anthony,Pteropodidae,Cynopterus,Cynopterus horsfieldii,Betacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros caffer,Betacoronavirus,NA
Anthony,Pteropodidae,Megaloglossus,Megaloglossus woermanni,Betacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros ruber,Betacoronavirus,NA
Anthony,Pteropodidae,Pteropus,Pteropus giganteus,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus clivosus,Betacoronavirus,NA
Anthony,Phyllostomidae,Artibeus,Artibeus obscurus,Betacoronavirus,NA
Anthony,Mormoopidae,Pteronotus,Pteronotus parnellii,Betacoronavirus,NA
Anthony,Pteropodidae,Megaerops,Megaerops niphanae,Betacoronavirus,NA
Anthony,Pteropodidae,Cynopterus,Cynopterus sphinx,Betacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis ricketti,Betacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus pipistrellus,Betacoronavirus,NA
Anthony,Pteropodidae,Pteropus,Pteropus alecto,Betacoronavirus,NA
Anthony,Molossidae,Mops,Mops condylurus,Betacoronavirus,NA
Anthony,Pteropodidae,Epomops,Epomops franqueti,Betacoronavirus,NA
Anthony,Pteropodidae,Eonycteris,Eonycteris spelaea,Betacoronavirus,NA
Anthony,Hipposideridae,Rhinonicteris,Rhinonicteris aurantia,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus euryale,Betacoronavirus,NA
Anthony,Pteropodidae,Dobsonia,Dobsonia moluccensis,Betacoronavirus,NA
Anthony,Emballonuridae,Taphozous,Taphozous perforatus,Betacoronavirus,NA
Anthony,Rhinopomatidae,Rhinopoma,Rhinopoma hardwickii,Betacoronavirus,NA
Anthony,Pteropodidae,Ptenochirus,Ptenochirus jagori,Betacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus nathusii,Betacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus pygmaeus,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus affinis,Betacoronavirus,NA
Anthony,Phyllostomidae,Artibeus,Artibeus lituratus,Betacoronavirus,NA
Anthony,Phyllostomidae,Dermanura,Artibeus phaeotis,Betacoronavirus,NA
Anthony,Molossidae,Nyctinomops,Nyctinomops laticaudatus,Betacoronavirus,NA
Anthony,Molossidae,Eumops,Eumops glaucinus,Betacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis dasycneme,Betacoronavirus,NA
Anthony,Vespertilionidae,Myotis,Myotis daubentonii,Betacoronavirus,NA
Anthony,Vespertilionidae,Nyctalus,Nyctalus noctula,Betacoronavirus,NA
Anthony,Pteropodidae,Pteropus,Pteropus rufus,Betacoronavirus,NA
Anthony,Pteropodidae,Eidolon,Eidolon dupreanum,Betacoronavirus,NA
Anthony,Mormoopidae,Pteronotus,Pteronotus davyi,Betacoronavirus,NA
Anthony,Pteropodidae,Eidolon,Eidolon helvum,Betacoronavirus,NA
Anthony,Pteropodidae,Micropteropus,Micropteropus pusillus,Betacoronavirus,NA
Anthony,Hipposideridae,Triaenops,Triaenops persicus,Betacoronavirus,NA
Anthony,Pteropodidae,Epomophorus,Epomophorus labiatus,Betacoronavirus,NA
Anthony,Pteropodidae,Epomophorus,Epomophorus gambianus,Betacoronavirus,NA
Anthony,Vespertilionidae,Scotophilus,Scotophilus dinganii,Betacoronavirus,NA
Anthony,Vespertilionidae,Scotophilus,Scotophilus leucogaster,Betacoronavirus,NA
Anthony,Vespertilionidae,Ia,Ia io,Betacoronavirus,NA
Anthony,Hipposideridae,Hipposideros,Hipposideros armiger,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus hipposideros,Betacoronavirus,NA
Anthony,Rhinolophidae,Rhinolophus,Rhinolophus blasii,Betacoronavirus,NA
Anthony,Vespertilionidae,Eptesicus,Eptesicus nilssonii,Betacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus hesperidus,Betacoronavirus,NA
Anthony,Vespertilionidae,Eptesicus,Eptesicus serotinus,Betacoronavirus,NA
Anthony,Phyllostomidae,Carollia,Carollia perspicillata,Betacoronavirus,NA
Anthony,Vespertilionidae,Pipistrellus,Pipistrellus abramus,Betacoronavirus,Merbecovirus
HP3,Pteropodidae,Rousettus,Rousettus amplexicaudatus,Ebolavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus leschenaultii,Ebolavirus,NA
HP3,Pteropodidae,Eidolon,Eidolon helvum,Ebolavirus,NA
HP3,Pteropodidae,Epomops,Epomops franqueti,Ebolavirus,NA
HP3,Pteropodidae,Hypsignathus,Hypsignathus monstrosus,Ebolavirus,NA
HP3,Pteropodidae,Micropteropus,Micropteropus pusillus,Ebolavirus,NA
HP3,Pteropodidae,Myonycteris,Myonycteris torquata,Ebolavirus,NA
HP3,Pteropodidae,Rousettus,Rousettus aegyptiacus,Ebolavirus,NA
HP3,Molossidae,Chaerephon,Chaerephon pumilus,Flavivirus,NA
HP3,Pteropodidae,Cynopterus,Cynopterus brachyotis,Flavivirus,NA
